Id	species	Syp/allo	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26
CAS5443	fortis	Allopatry	0.072042765	-0.007916472	0.016069027	0.002457688	0.00500234	7.04E-04	3.60E-04	7.14E-04	-0.0039404	-0.007794959	0.010094123	-5.45E-04	0.005379379	-2.87E-04	-0.015362648	-0.003381171	-0.006657035	-1.17E-04	0.004697129	-5.66E-04	-0.001970546	0.001714514	-0.002958351	-2.16E-04	0.001380398	0.001897318
CAS5444	fortis	Sympatry	-0.08529099	0.018574855	0.005919997	0.014877492	-0.001717621	-0.002546673	-0.001496176	0.006232374	0.004537068	0.005457494	-0.002942903	-0.001601391	6.41E-04	2.96E-04	-3.80E-04	-2.49E-04	-0.003133387	-9.03E-04	5.34E-06	-0.001617081	4.02E-04	-5.14E-04	3.83E-04	-4.48E-06	0.0011047	2.42E-04
CAS5445	fortis	Allopatry	0.052383603	-0.008541473	0.0082374	0.019401526	0.010334331	-0.008267796	-0.006576603	0.003548111	-0.004156512	0.006290655	-0.009249071	-0.001959168	-0.003592409	-5.48E-04	-0.005529196	0.00202897	0.00449903	0.002562767	-0.001061695	0.00121867	0.001886815	0.004224611	-0.004413589	0.001955622	-0.001458918	5.57E-04
CAS5446	fortis	Sympatry	-0.061556648	2.08E-04	0.013563852	0.006027042	-0.003596252	-0.008198219	-7.63E-04	-0.00173134	2.17E-04	0.001863319	-0.002983604	6.05E-04	0.005648145	-9.40E-04	3.47E-04	0.001273123	-0.002568712	0.003419921	2.37E-04	0.00140106	-6.22E-04	5.78E-04	-6.86E-04	-7.62E-05	2.06E-04	2.93E-04
CAS5447	fortis	Allopatry	0.034065449	-0.007048164	-0.006749166	0.005180894	0.005424322	-0.00126722	0.008608704	-0.006767373	-0.008052067	-7.01E-04	-0.005553716	0.006353894	0.004089894	-0.005512266	0.004136199	0.006590644	0.006237927	0.007045824	-0.001973243	0.005047503	0.003863296	4.34E-04	-2.63E-04	-4.71E-04	3.05E-04	-0.0015013
CAS5450	fortis	Sympatry	-0.082642576	-0.007074948	0.037694944	0.010721447	-0.013400225	0.002268409	0.007295978	4.87E-05	-1.68E-04	0.004818819	0.003663033	4.58E-05	-0.003964606	-0.001221489	-6.75E-05	-0.002767779	-0.001812128	0.005197911	-3.03E-04	7.28E-05	-2.09E-04	-2.29E-04	-0.001126472	6.27E-04	3.55E-04	-4.09E-04
CAS5453	fortis	Sympatry	0.015084097	-0.021873864	0.01786728	-0.001595804	0.008291475	-0.006310797	0.001583148	0.001290141	-0.001151818	0.001538118	-0.003500461	9.92E-04	0.004680414	-9.19E-04	-0.002029628	-5.57E-04	7.10E-04	-0.003503234	0.001209088	3.46E-04	-4.58E-04	1.62E-04	5.71E-04	1.70E-04	1.27E-04	0.001554103
CAS5455	fortis	Sympatry	-0.039583389	-0.032382999	-0.012016529	0.001252403	0.003701947	0.001699372	-0.004031324	0.005286279	0.003259098	-0.002670573	0.002527105	-0.006056916	-0.001169938	0.003121461	0.001240222	-3.51E-04	-9.97E-04	-0.001218589	0.001736222	-4.25E-04	2.39E-04	0.001058276	5.28E-04	-8.54E-04	-4.93E-04	-0.001559028
CAS5456	fortis	Sympatry	-0.073492939	-0.008810962	0.010939121	0.016180956	-0.01984074	0.002364339	0.003070037	0.006167635	-0.001291973	0.002726221	0.003788847	-0.005100787	0.003145905	-9.29E-05	0.001508051	3.84E-04	-7.49E-04	0.003533761	-0.001077769	4.09E-04	-7.75E-06	7.95E-04	-3.14E-04	5.05E-04	1.49E-04	5.66E-05
CAS5460	fortis	Sympatry	-0.050344809	0.026556618	0.013427722	0.01334397	-0.002345661	7.99E-04	-0.001146656	-0.003073966	8.17E-04	-0.003701066	-6.81E-04	-7.76E-04	-1.17E-04	3.89E-04	0.001027149	-3.19E-04	8.12E-04	0.001154015	-8.21E-04	-7.23E-05	1.56E-04	-2.95E-05	-1.38E-04	-5.78E-06	-3.08E-04	-1.10E-04
